catalog_id,fid,original_validation,smiles,hasTertiaryAmine,nHBD,nHBA,cLogP,nHeteroAtoms,RingCount,nRotatableBonds,nAromaticBonds,nAcidicGroup,nBasicGroup,AtomicPolarizability,MolWt,TPSA,MaxTrainSimilarity,ClosestTrainSmiles,ClosestTrainIdentifier,FpClusterId,PhysChemClusterId
Z1898593365,,,C#CCCC1(CCO)N=N1,0,1.0,3.0,0.94,3.0,1.0,4.0,0.0,0.0,0.0,21.99,138.17,44.95,0.49,C#CCCC1(CCC(=O)NC2(CCO)CS(=O)(=O)C2)N=N1,C291,4.0,11.0
Z2681245905,,,C#CCCC1(CCN)N=N1,0,1.0,3.0,0.91,3.0,1.0,4.0,0.0,0.0,1.0,22.95,137.19,50.74,0.37,C#CCCC1(CCC(=O)NCC2CCC3C(CC2)C3(F)F)N=N1,C219,4.0,11.0
Z1889707950,,,C#CCCC1(CCC(=O)O)N=N1,0,1.0,3.0,1.43,4.0,1.0,5.0,0.0,1.0,0.0,24.55,166.18,62.02,0.51,C#CCCC1(CCC(=O)NC2(CCO)CS(=O)(=O)C2)N=N1,C291,4.0,11.0
Z2866902736,,,C#CCCC1(CCC(=O)N2CCN(Cc3cccc(F)c3)C(=O)C2)N=N1,0,0.0,4.0,2.35,7.0,3.0,7.0,6.0,0.0,0.0,54.0,356.4,65.34,0.49,C#CCCC1(CCC(=O)N2CCC3(CC2)CC3c2nnc(-c3cccc(F)c3)o2)N=N1,C039,7.0,4.0
Z2866902740,,,C#CCCC1(CCC(=O)N2CCN(Cc3cccc(C(F)(F)F)c3)CC2)N=N1,1,0.0,4.0,3.71,8.0,3.0,7.0,6.0,0.0,1.0,57.41,392.43,48.27,0.51,C#CCCC1(CCC(=O)N2CCP(=O)(c3ccccc3)CC2)N=N1,C295,7.0,9.0
Z2866902747,,,C#CCCC1(CCC(=O)N2CCc3cc(OC)c(OC)cc3CC2)N=N1,0,0.0,5.0,2.99,6.0,3.0,7.0,6.0,0.0,0.0,57.58,355.44,63.49,0.58,C#CCCC1(CCC(=O)N2CCc3ccc(C#N)nc3CC2)N=N1,C374,7.0,4.0
Z2866902757,,,C#CCCC1(CCC(=O)N2CCCC(N3CCOCC3)C2)N=N1,1,0.0,5.0,1.67,6.0,3.0,6.0,0.0,0.0,1.0,53.26,318.42,57.5,0.66,C#CCCC1(CCC(=O)N2C[C@@H](O)[C@H](N3CCOCC3)C2)N=N1,C113,11.0,0.0
Z2866902766,,,C#CCCC1(CCC(=O)N2CCN(c3ccccc3OCC)CC2)N=N1,0,0.0,5.0,3.09,6.0,3.0,8.0,6.0,0.0,0.0,58.54,354.45,57.5,0.62,C#CCCC1(CCC(=O)N2CCC(N3CCN(c4ccccc4Cl)CC3)CC2)N=N1,C186,7.0,9.0
Z2866902773,,,C#CCCC1(CCC(=O)N2CCC(Cc3ccccc3OC)CC2)N=N1,0,0.0,4.0,3.83,5.0,3.0,8.0,6.0,0.0,0.0,59.87,353.47,54.26,0.59,C#CCCC1(CCC(=O)N2CCC(C(O)c3cccc(OC)c3)CC2)N=N1,C286,11.0,9.0
Z2866902789,,,C#CCCC1(CCC(=O)NCc2nnc3n2CCOCC3)N=N1,0,1.0,7.0,0.82,8.0,3.0,7.0,5.0,0.0,0.0,47.94,316.37,93.76,0.56,C#CCCC1(CCC(=O)NCCS(=O)(=O)N2CCOCC2)N=N1,C253,6.0,3.0
Z2866902791,,,C#CCCC1(CCC(=O)N2CCOC(Cn3ccnn3)C2)N=N1,0,0.0,7.0,0.86,8.0,3.0,7.0,5.0,0.0,0.0,47.94,316.37,84.97,0.71,C#CCCC1(CCC(=O)N2CCOC(Cn3cncn3)C2)N=N1,C013,11.0,3.0
Z2866902793,,,C#CCCC1(CCC(=O)N2CCN(Cc3ncon3)CC2)N=N1,1,0.0,7.0,1.07,8.0,3.0,7.0,5.0,0.0,1.0,47.94,316.37,87.19,0.52,C#CCCC1(CCC(=O)N2CCN(C(C)c3nc(C(C)C)no3)CC2)N=N1,C340,7.0,3.0
Z2866902797,,,C#CCCC1(CCC(=O)N2CCN(Cc3cc(Cl)ccc3OC)CC2)N=N1,1,0.0,5.0,3.35,7.0,3.0,8.0,6.0,0.0,1.0,60.05,388.9,57.5,0.52,C#CCCC1(CCC(=O)N2CCOC(c3c(Cl)cccc3OC)C2)N=N1,C213,7.0,2.0
Z2866902803,,,C#CCCC1(CCC(=O)N2CCCC3(CCc4ccccc4O3)C2)N=N1,0,0.0,4.0,3.73,5.0,4.0,5.0,6.0,0.0,0.0,58.53,351.45,54.26,0.59,C#CCCC1(CCC(=O)N2CC3(CCC3)OC3(CCC3)C2)N=N1,C387,7.0,9.0
Z2866902805,,,C#CCCC1(CCC(=O)N2C3CCC2CC(Oc2ccccc2)C3)N=N1,0,0.0,4.0,3.94,5.0,4.0,7.0,6.0,0.0,0.0,58.53,351.45,54.26,0.66,C#CCCC1(CCC(=O)N2C3CCC2CC(O)(Cc2ccccc2)C3)N=N1,C001,0.0,9.0
Z2866902812,,,C#CCCC1(CCC(=O)Nc2ccc3c(c2)CCN3C(=O)c2cccnc2)N=N1,0,1.0,5.0,3.58,7.0,4.0,7.0,12.0,0.0,0.0,59.83,387.44,87.02,0.53,C#CCCC1(CCC(=O)Nc2ccc3c(c2)CN(c2ccccc2)C3)N=N1,C207,10.0,1.0
Z2866902817,,,C#CCCC1(CCC(=O)N2CCCC(Cn3cncn3)C2)N=N1,0,0.0,6.0,1.87,7.0,3.0,7.0,5.0,0.0,0.0,50.23,314.39,75.74,0.69,C#CCCC1(CCC(=O)N2CCOC(Cn3cncn3)C2)N=N1,C013,11.0,13.0
Z2866902819,,,C#CCCC1(CCC(=O)N2CCCC(n3ccnn3)CC2)N=N1,0,0.0,6.0,2.19,7.0,3.0,6.0,5.0,0.0,0.0,50.23,314.39,75.74,0.52,C#CCCC1(CCC(=O)N2CCC(N3CCN(c4ccccc4Cl)CC3)CC2)N=N1,C186,11.0,13.0
Z2866902823,,,C#CCCC1(CCC(=O)N2CC(CC(=O)N(C)C)c3cc(Cl)ccc32)N=N1,0,0.0,4.0,3.60,7.0,3.0,7.0,6.0,0.0,0.0,58.72,386.88,65.34,0.47,C#CCCC1(CCC(=O)N(C)C2(c3cccc(Cl)c3)CC2)N=N1,C106,1.0,9.0
Z2866902832,,,C#CCCC1(CCC(=O)NC(C)c2cc3n(n2)CCCC3)N=N1,0,1.0,5.0,2.75,6.0,3.0,7.0,5.0,0.0,0.0,51.56,313.41,71.64,0.52,C#CCCC1(CCC(=O)NC(C(=O)N2CCCCC2)C(C)C)N=N1,C009,4.0,4.0
Z2866902836,,,C#CCCC1(CCC(=O)N2CCc3c(ncn(C)c3=O)C2)N=N1,0,0.0,6.0,1.02,7.0,3.0,5.0,6.0,0.0,0.0,47.93,313.36,79.92,0.58,C#CCCC1(CCC(=O)N2CCc3c(ncn3-c3ccc(F)cc3)C2)N=N1,C224,7.0,13.0
Z2866902840,,,C#CCCC1(CCC(=O)Nc2cccc(-c3noc(C4CC4)n3)c2)N=N1,0,1.0,6.0,3.91,7.0,4.0,8.0,11.0,0.0,0.0,53.21,349.39,92.74,0.51,C#CCCC1(CCC(=O)Nc2cccc(C(O)CC(F)(F)F)c2)N=N1,C051,10.0,1.0
Z2866902846,,,C#CCCC1(CCC(=O)N2CCc3cc(OC)c(OC)c(OC)c3CC2)N=N1,0,0.0,6.0,3.00,7.0,3.0,8.0,6.0,0.0,0.0,61.47,385.46,72.72,0.53,C#CCCC1(CCC(=O)N2CCc3ccc(Cl)c(Cl)c3C2)N=N1,C053,7.0,2.0
Z2866902847,,,C#CCCC1(CCC(=O)N2CCN(c3ncccn3)CC2)N=N1,0,0.0,6.0,1.48,7.0,3.0,6.0,6.0,0.0,0.0,48.9,312.38,74.05,0.64,C#CCCC1(CCC(=O)NC2(CN3CCN(c4ncccn4)CC3)CC2)N=N1,C182,7.0,13.0
Z2866902874,,,C#CCCC1(CCC(=O)N2CCCC(c3cccnc3)C2)N=N1,0,0.0,4.0,3.14,5.0,3.0,6.0,6.0,0.0,0.0,51.55,310.4,57.92,0.55,C#CCCC1(CCC(=O)N2CCCC(c3[nH]ncc3CN3CCOCC3)C2)N=N1,C329,11.0,9.0
Z2866902877,,,C#CCCC1(CCC(=O)N2CCCC(c3ccccn3)C2)N=N1,0,0.0,4.0,3.14,5.0,3.0,6.0,6.0,0.0,0.0,51.55,310.4,57.92,0.59,C#CCCC1(CCC(=O)N2CCCC(c3n[nH]cc3NS(C)(=O)=O)C2)N=N1,C236,11.0,9.0
Z2866902879,,,C#CCCC1(CCC(=O)N2CCCC(c3ccncc3)C2)N=N1,0,0.0,4.0,3.14,5.0,3.0,6.0,6.0,0.0,0.0,51.55,310.4,57.92,0.59,C#CCCC1(CCC(=O)N2CCCC(COC(F)(F)F)C2)N=N1,C307,11.0,9.0
