Accession	FragID	exp_id	Abundance_Ratio_log2	Abundance_Ratio_log2_median_corr	Abundance_Ratio_PValue	Abundance_Ratio_Adj_PValue	Number_of_Protein_Unique_Peptides	Number_of_Peptides	Coverage_in_Percent	Frequency_detected	Rank_relative
Q8IXH7	C001	BD20_057	4.8	3.73	2.9528163399406e-05	0.0346992483838744	8	8	16	393	1
Q15165	C001	BD20_057	4.77	3.7	4.82508770437429e-05	0.0346992483838744	2	2	7	376	2
Q16740	C001	BD20_057	4.37	3.3	1.31502365628977e-05	0.032270680525351	8	8	31	412	3
P21796	C001	BD20_057	4.02	2.95	0.0002716624623501	0.0714086827414178	27	29	92	412	4
P49721	C001	BD20_057	4.02	2.95	4.9489555559723e-05	0.0346992483838744	7	7	42	412	4
O15217	C001	BD20_057	4.01	2.94	0.00011704981529	0.0437759807437068	5	5	27	68	6
P50897	C001	BD20_057	3.84	2.77	0.0003725868390129	0.0762380834700781	9	9	25	412	7
Q06520	C001	BD20_057	3.83	2.76	0.0001614574305845	0.052828871287281	2	2	11	68	8
Q9UHX1	C001	BD20_057	3.8	2.73	2.15326560150109e-05	0.0346992483838744	19	19	40	412	9
P80303	C001	BD20_057	3.76	2.69	0.0003873375012871	0.0762380834700781	11	11	30	405	10
Q92564	C001	BD20_057	3.75	2.68	0.0005867668540865	0.0872682339350527	2	3	11	169	11
P43490	C001	BD20_057	3.68	2.61	0.0001044640084614	0.0427257794607226	19	19	45	412	12
Q9UIQ6	C001	BD20_057	3.62	2.55	0.0002920032628389	0.0716576007006803	20	20	15	405	14
P24390	C001	BD20_057	3.59	2.52	0.000208776315769	0.0640421348621712	4	4	27	393	15
P30519	C001	BD20_057	3.58	2.51	9.68897424228343e-05	0.0427257794607226	18	18	63	412	16
P03886	C001	BD20_057	3.55	2.48	0.0029312051328425	0.161644435865068	2	2	9	251	17
Q9H061	C001	BD20_057	3.46	2.39	0.0010732505307781	0.114556749755218	5	5	33	365	18
Q9HB40	C001	BD20_057	3.43	2.36	0.0016402590444466	0.138799851554209	12	12	29	412	19
Q96ES6	C001	BD20_057	3.4	2.33	0.0005507037804579	0.0871888436931508	2	2	6	280	20
Q9BQE5	C001	BD20_057	3.39	2.32	0.0011355839083353	0.117802706137259	5	5	28	323	21
P09601	C001	BD20_057	3.36	2.29	0.0007198686328396	0.0981420902771433	11	11	41	412	22
O75153	C001	BD20_057	3.31	2.24	3.8478238838846e-05	0.0346992483838744	34	35	32	412	23
Q9H7B4	C001	BD20_057	3.3	2.23	0.0002354440156037	0.0679740722695899	2	2	5	281	24
Q9NS69	C001	BD20_057	3.3	2.23	0.0022094997722205	0.146768925473016	5	5	45	412	24
Q9Y487	C001	BD20_057	3.27	2.2	0.0001248703607196	0.0437759807437068	6	7	10	411	26
P10619	C001	BD20_057	3.24	2.17	0.0012592032079294	0.123603386890359	4	4	8	411	27
P45880	C001	BD20_057	3.24	2.17	0.0005059976684761	0.0856357433407211	18	19	64	412	27
Q9UHG3	C001	BD20_057	3.23	2.16	0.0004403296250324	0.0800421407281277	21	21	47	412	29
A6NIH7	C001	BD20_057	3.17	2.1	0.0008745827262501	0.102201238581807	3	4	27	369	30
O94888	C001	BD20_057	3.12	2.05	6.82062634078662e-05	0.037195148978423	6	6	18	250	31
Q69YU5	C001	BD20_057	3.08	2.01	0.0005319066877439	0.0870199341149092	3	3	48	352	32
Q6DKK2	C001	BD20_057	3.04	1.97	0.0013657687260538	0.126475337876838	7	7	17	412	33
Q9UQ84	C001	BD20_057	3.03	1.96	0.0003642589779065	0.0762380834700781	15	15	17	410	34
O00461	C001	BD20_057	3.01	1.94	0.0017235136887648	0.139425210281253	7	7	10	381	35
Q15392	C001	BD20_057	2.92	1.85	6.60494195164896e-05	0.037195148978423	13	13	27	412	36
O43676	C001	BD20_057	2.88	1.81	0.0021682278532435	0.146768925473016	4	4	30	378	37
P07602	C001	BD20_057	2.87	1.8	0.0008659052600192	0.102201238581807	4	4	4	396	38
Q5VW38	C001	BD20_057	2.86	1.79	0.0043761637008008	0.183146040335024	5	5	8	345	39
P42785	C001	BD20_057	2.84	1.77	0.0013338231176636	0.125892381951789	10	10	23	412	40
Q9C0H2	C001	BD20_057	2.81	1.74	0.0014437055483312	0.131216793170555	2	2	4	339	41
P54802	C001	BD20_057	2.8	1.73	0.0025172259820412	0.148849941203116	11	11	23	411	42
Q9NPR9	C001	BD20_057	2.79	1.72	0.0039808836103564	0.177408591664842	2	2	3	262	43
Q16836	C001	BD20_057	2.78	1.71	0.000818721057704	0.102201238581807	8	8	32	412	44
O75071	C001	BD20_057	2.77	1.7	0.0033889190300509	0.173258485411352	3	3	11	195	45
Q8NHP8	C001	BD20_057	2.75	1.68	0.0036572857954203	0.17608356833515	5	5	11	401	46
Q93050	C001	BD20_057	2.71	1.64	4.01140545347456e-06	0.0196879779656531	13	15	20	412	47
P05067	C001	BD20_057	2.7	1.63	0.0011932851314836	0.119523335210648	3	3	3	290	48
Q99720	C001	BD20_057	2.69	1.62	0.0028560701541529	0.161644435865068	5	5	26	398	49
P43307	C001	BD20_057	2.68	1.61	0.004738252756849	0.183146040335024	3	3	12	410	50
P42892	C001	BD20_057	2.66	1.59	0.0022611744692053	0.146768925473016	18	18	22	405	51
Q14739	C001	BD20_057	2.66	1.59	0.0002764394808653	0.0714086827414178	14	14	20	412	51
Q8NAN2	C001	BD20_057	2.66	1.59	0.0021826677392861	0.146768925473016	2	2	2	137	51
O75964	C001	BD20_057	2.65	1.58	0.0089443964294863	0.201977192712512	5	6	53	412	54
