fid,smiles,specificity_pxf0,specificity_pxf1,specificity_pxf2
C001,C#CCCC1(CCC(=O)N2C3CCC2CC(O)(Cc2ccccc2)C3)N=N1,0,0,0
C002,C#CCCC1(CCC(=O)Nc2cc(S(N)(=O)=O)ccc2-n2cc(C)cn2)N=N1,0,1,1
C003,C#CCCC1(CCNC(=O)COc2ccc3c(C)c(C)c(=O)oc3c2C)N=N1,0,0,0
C004,C#CCCC1(CCC(=O)N2CCc3ccsc3C2c2cscn2)N=N1,0,0,0
C006,C#CCCC1(CCNC(=O)C2CCc3nnn(C4CCCC4)c3C2)N=N1,0,1,1
C007,C#CCCC1(CCC(=O)NC(C)c2cnc(C(F)(F)F)s2)N=N1,0,0,0
C008,C#CCCC1(CCNC(=O)c2oc(C(C)(C)C)nc2C(F)F)N=N1,0,0,1
C009,C#CCCC1(CCC(=O)NC(C(=O)N2CCCCC2)C(C)C)N=N1,1,1,1
C010,C#CCCC1(CCNC(=O)Cc2c(C(F)(F)F)coc2C)N=N1,0,0,0
C011,C#CCCC1(CCNC(=O)C2(c3ccccc3C#N)CCC2)N=N1,0,0,0
C017,C#CCCC1(CCC(=O)Nc2ccc3c(c2)nc(C)n3C2(CO)CCC2)N=N1,0,0,0
C018,C#CCCC1(CCC(=O)Nc2ccc(F)cc2Cn2ccsc2=O)N=N1,0,0,1
C021,C#CCCC1(CCNC(=O)c2sccc2NS(C)(=O)=O)N=N1,1,1,1
C022,C#CCCC1(CCNC(=O)C(C)(C)Oc2ccc(Cl)cc2)N=N1,0,0,0
C023,C#CCCC1(CCC(=O)N2CCCC3(CCCCO3)C2C#N)N=N1,1,1,1
C024,C#CCCC1(CCNC(=O)c2c(C)nn(CC(F)F)c2C)N=N1,0,1,1
C026,C#CCCC1(CCC(=O)NC2c3cccc(F)c3OC2C)N=N1,0,0,0
C027,C#CCCC1(CCNC(=O)c2ccnc3nccnc23)N=N1,0,0,0
C028,C#CCCC1(CCC(=O)N2CCCCC2c2nnc(CC(F)(F)F)o2)N=N1,0,1,1
C035,C#CCCC1(CCNC(=O)C(C)Cn2ccc3ccccc32)N=N1,1,1,1
C036,C#CCCC1(CCNC(=O)C23CCC(N(C)C)(CC2)CC3)N=N1,0,0,1
C038,C#CCCC1(CCC(=O)NC(CC(C)C)c2nc[nH]n2)N=N1,0,1,1
C039,C#CCCC1(CCC(=O)N2CCC3(CC2)CC3c2nnc(-c3cccc(F)c3)o2)N=N1,0,0,0
C040,C#CCCC1(CCC(=O)Nc2cc(C)n(Cn3nc(C(F)(F)F)cc3C)n2)N=N1,0,0,0
C041,C#CCCC1(CCNC(=O)C2(S(=O)(=O)c3ccc(C)cc3)CCCC2)N=N1,0,0,0
C042,C#CCCC1(CCC(=O)N2CCCC(N3C(=O)CC4(CCCC4)C3=O)C2)N=N1,0,1,1
C044,C#CCCC1(CCC(=O)NC(C)c2cnn(-c3ccc(C#N)cc3)c2C)N=N1,0,0,0
C045,C#CCCC1(CCC(=O)NCC2(N3CCN(C(C)C)CC3)CCCC2)N=N1,0,0,0
C046,C#CCCC1(CCNC(=O)C2CS(=O)C3c4ccccc4C(=O)N23)N=N1,0,1,1
C048,C#CCCC1(CCC(=O)NCC(c2nnc3ccc(C)nn23)C(C)C)N=N1,1,1,1
C049,C#CCCC1(CCC(=O)NC(C)c2oc3c(OC)cc(C)cc3c2C)N=N1,0,0,0
